名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,File Name,来源城市,AQI,绿化覆盖率 (%),废水处理率 (%),废气处理率 (%),垃圾分类处理率 (%),历史遗迹数量,博物馆数量,文化活动频次,文化设施数量,公共交通覆盖率 (%),线路密度 (km/km²),高速公路里程 (km),机场航班数量,年平均气温 (℃),年降水量 (mm),适宜旅游天数,空气湿度 (%),餐馆数量,特色美食数量,美食活动频次,综合评分
东庠岛Dongtang Island,http://travel.qunar.com/p-oi22921240-dongxiangdao,"

地址:
福州市平潭县东庠岛

",东庠岛被称为“千礁岛县”，背倚青山，面朝大海，它既有宁静悠闲的海域风光，也有朴素平实的渔民生活，《爸爸去哪儿5》第一期就是这里取的景。在这里，能享受这一处宁静无人的沙滩。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c61ea290bc08a5fc9c6ed2237b58f4bb.jpg_480x360x95_87ee9613.jpg,5.0,建议游览时间：2小时 - 3小时,,,,4,福州,福州,-4.613380288096083,2.6036164945448745,3.3231715117102363,2.5605185842221476,3.1557823229927973,1.461145538576237,1.5457363566555917,1.5732889749198629,1.6115666828808846,2.5084243081620463,2.9922779794709475,2.154245047349881,1.7804107539186242,4.312504803351212,4.655131636375318,3.3234268384683934,3.8894793260439493,4.366430923335954,3.2311354719523737,2.7227713035276335,3.078503601759434
南海寺Nanhai Temple,http://travel.qunar.com/p-oi23344075-nanhaisi,,南海寺面朝大海。南海寺的任何一处，都能看到巨大的水花在岩石上的美景。观音阁是南海寺的中心建筑。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4822743b013eeb6986ebecf83403eebd.jpg_480x360x95_b8d87869.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1,汕尾,汕尾,-0.5672856326017349,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8698873427512936
元谋人世界公园,http://travel.qunar.com/p-oi37806141-yuanmourenshijiegongyuan,,"元谋人世界公园内建有远古温泉水世界、狂欢岛和凤凰商街等，来到这里，人们既能泡温泉，又可以欣赏美丽的田园景色，非常惬意。
",,,5.0,建议游览时间：12小时,,具体收费情况以现场公示为主,,3,楚雄州,楚雄州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
俄尔则俄Eerzeer Scenic Area,http://travel.qunar.com/p-oi18702245-eerzee,,俄而则俄的南北两坡上都是杜鹃花，每到了花期的时候，花海特别漂亮，在山上还可以看到美丽的日出和云海。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/24b31fba91c31b2775c8eb2984fc286a.jpg_480x360x95_6eb6213c.jpg,5.0,,,具体收费情况以现场公示为主,,1,成都,成都,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
长丰稻作文化展览馆,http://travel.qunar.com/p-oi39175783-zhangfengdaozuowenhua,,,,,0.0,,,,,1,可克达拉,可克达拉,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
二祖山,http://travel.qunar.com/p-oi39413141-erzushan,,,,,5.0,,,,,5,安庆,安庆,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
郭味蕖故居陈列馆Guoweiqu Former Residence Exhibition Hall,http://travel.qunar.com/p-oi703544-guoweiqugujuchenlieguan,"

地址:
东风西街1048号(近三中)


电话:
8327866

",,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/142a61452c86faf0c00d680fa2670d6c.gif_480x360x95_3f7dc468.gif,5.0,,,具体收费情况以现场公示为主,,3,潍坊,潍坊,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
湖北省国营三湖农场State-owned Sanhu Farm in Hubei Province,http://travel.qunar.com/p-oi35559380-hubeishengguoyingsanhu,,,,,5.0,,,具体收费情况以现场公示为主,,1,潜江,潜江,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1,五家渠,五家渠,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
花局里Huajuli Commercial Street,http://travel.qunar.com/p-oi8304645-huajuli,"

地址:
扬州个园附近花局里


电话:
0514-87365553

",花局里，毗邻扬州个园，扬州城市旅游新打造的综合性休闲旅游商业街区，集美食、购物、演艺为一体，店铺林立、古色古香，将重现汉唐盛世、明清华彩，乃扬州市政府倾力打造的“老扬州，新名胜”。,全天开放,https://img1.qunarzz.com/travel/d7/1707/18/3fa2bbd759b191b5.jpg_480x360x95_0371df1a.jpg,5.0,,,具体收费情况以现场公示为主,,7,扬州,扬州,-0.8785236830243771,1.483361242357962,1.8009731095420327,1.9795038131321625,2.2767627933494596,2.754593982400801,2.7419867654059256,2.7088563424658822,2.7655611435616176,2.5084243081620463,2.548977538067844,2.581615460434286,2.6139182380612573,0.01961039803094795,-1.1441149217358941,1.202352937850347,2.244151131062249,2.6182323227452087,2.550813154440061,2.7227713035276335,1.8678642954235465
